Series,Issue,Full Title,Variant Description,Publisher,Release Date,Format,Added Date,Creators
'Mazing Man,1,"""Y'know, After A Long Hard Day...""",,DC Comics,Jan-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Karl Kesel
'Mazing Man,2,Easy Money / Occupations,,DC Comics,Feb-86,Comic,23-Feb-14,Stephen DeStefano | Bob Rozakis | Karl Kesel
'Mazing Man,3,Doing What Married People Do,,DC Comics,Mar-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Karl Kesel
'Mazing Man,4,The Male Machine: Parts 1 And 2,,DC Comics,Apr-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Karl Kesel
'Mazing Man,5,Writer's Block,,DC Comics,May-86,Comic,23-Feb-14,Bob Rozakis | Pablo Marcos | Kurt Schaffenberger
'Mazing Man,6,Take Me Out To The Ballgame,,DC Comics,Jun-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Bob Smith
1602: Witch Hunter Angela,1A,Secret Wars: Warzones - In Which Wicked Somethings This Way Comes,Stephanie Hans Cover,Marvel Comics,10-Jun-15,Comic,3-Oct-15,Kieron Gillen | Marguerite Bennett | Stephanie Hans
1602: Witch Hunter Angela,2A,Secret Wars: Warzones - In Which All the World's a Stage and The Guardians Overthrow the Players,Stephanie Hans Cover,Marvel Comics,29-Jul-15,Comic,3-Oct-15,Kieron Gillen | Marguerite Bennett | Stephanie Hans
1602: Witch Hunter Angela,3A,Secret Wars: Warzones - In Which Hearts Rend And Heads Roll,Stephanie Hans Regular Cover,Marvel Comics,9-Sep-15,Comic,20-Nov-15,Kieron Gillen | Marguerite Bennett | Frazer Irving
1602: Witch Hunter Angela,4,Secret Wars: Warzones - In Which A Witch Will Beget A Very Excellent Piece Of Villainy,,Marvel Comics,7-Oct-15,Comic,20-Nov-15,Kieron Gillen | Marguerite Bennett | Kody Chamberlain
1872,1A,Secret Wars - Chapter One: Tyranny In Timely,Alex Maleev Cover,Marvel Comics,8-Jul-15,Comic,13-Dec-15,Gerry Duggan | Nik Virella
1872,2A,Secret Wars ,,Marvel Comics,22-Jul-15,Comic,13-Dec-15,Gerry Duggan | Manny Mederos | Nik Virella
1872,3A,Secret Wars ,,Marvel Comics,26-Aug-15,Comic,13-Dec-15,Gerry Duggan | Nik Virella
1872,4A,Secret Wars ,,Marvel Comics,21-Oct-15,Comic,13-Dec-15,Gerry Duggan | Nik Virella
"2099 Alpha, Vol. 1",1A,,,Marvel Comics,20-Nov-19,Comic,23-Nov-19,Nicholas Spencer | Viktor Bogdanović
2099 Unlimited,2,Thirty Mile Mall,,Marvel Comics,Oct-93,Comic,23-Feb-14,Bob Fingerman | Gerard Jones | Evan Skolnick
11-Sep,1,Artists Respond,,DC Comics,Jan-02,Trade Paperback,23-Feb-14,John K. Snyder III | Alan Moore | Terry Anderson
11-Sep,2,The World's Finest Comic Book Writers And Artists Tell Stories To Remember,1st Print,DC Comics,2002,Trade Paperback,23-Feb-14,Darwyn Cooke | Brian Azzarello | Paul Levitz
A Tale of the Batman: Gotham by Gaslight,1,Gotham By Gaslight,First Printing,DC Comics,1989,Squarebound,23-Feb-14,Robert Bloch | Brian Augustyn | Mike Mignola
A+X,4A,The Beast + The Amazing Spider-Man / Captain America + Quentin Quire,Regular Kaare Andrews Cover,Marvel Comics,23-Jan-13,Comic,23-Feb-14,Jason Latour | Kaare Andrews | David López
A+X,5A,Iron Fist: Doop / Loki: Mister Sinister,Regular David Lafuente Cover,Marvel Comics,6-Mar-13,Comic,23-Feb-14,Kieron Gillen | Kathryn Immonen | David LaFuente
A+X,7A,Iron Man + Beast / Thor + Iceman,Regular Orphans Cheeps Cover,Marvel Comics,24-Apr-13,Comic,23-Feb-14,Christopher Yost | Zeb Wells | R'John Bernales
A+X,8,Spider-Woman & Kitty Pryde (& Lockheed) / Hawkeye & Deadpool,,Marvel Comics,22-May-13,Comic,23-Feb-14,Gerry Duggan | Christopher Hastings | Reilly Brown
A+X,9,"Captain America + Wolverine / Dr. Strange + Quentin Quire, Pixie And Eye-Boy",,Marvel Comics,19-Jun-13,Comic,23-Feb-14,David Lapham | Nathan Edmondson | Humberto Ramos
A+X,10,Black Widow Fantomex / Scarlet Witch Domino,,Marvel Comics,17-Jul-13,Comic,23-Feb-14,Adam Warren | B. Clay Moore | Kris Anka
A+X,11,Thor + Magik / Superior Spider-Man + Cyclops,,Marvel Comics,28-Aug-13,Comic,23-Feb-14,Jim Krueger | Mike Benson | Mark Texeira
A+X,12,Wonder Man + The Beat / Captailn America + Jubilee,,Marvel Comics,25-Sep-13,Comic,23-Feb-14,Christos N. Gage | Justin Jordan | Angel Unzueta
A+X,13,Captain America + Cyclops / Black Widow + Emma Frost,,Marvel Comics,16-Oct-13,Comic,23-Feb-14,Howard Chaykin | Gerry Duggan | David Yardin
A+X,14,,,Marvel Comics,20-Nov-13,Comic,23-Feb-14,Gerry Duggan | Max Bemis | David Yardin
A+X,15,Doctor Strange +the Beast / Captain America + Cyclops,,Marvel Comics,11-Dec-13,Comic,23-Feb-14,Jai Nitz | Gerry Duggan | Greg Smallwood
A+X,16,The Amazing Spider-Man + Psylocke / Captain America + Cyclops,,Marvel Comics,8-Jan-14,Comic,23-Feb-14,Gerry Duggan | Sean Ryan | Goran Parlov
A+X,17,Iron Man + Broo / Captain America + Cyclops,,Marvel Comics,19-Feb-14,Comic,22-Mar-14,Gerry Duggan | Jeff Loveness | Paco Diaz
A+X,18,,,Marvel Comics,26-Mar-14,Comic,10-Apr-14,Jim Krueger | Gerry Duggan | Will Sliney
"A-Force, Vol. 1",1A,Secret Wars ,Jim Cheung Regular Cover,Marvel Comics,20-May-15,Comic,10-Jul-15,G. Willow Wilson | Marguerite Bennett | Jorge Molina
"A-Force, Vol. 1",2A,Secret Wars ,Jorge Molina Regular Cover,Marvel Comics,1-Jul-15,Comic,23-Jul-15,G. Willow Wilson | Marguerite Bennett | Jorge Molina
"A-Force, Vol. 1",3A,Secret Wars ,Jorge Molina Regular Cover,Marvel Comics,12-Aug-15,Comic,21-Aug-15,G. Willow Wilson | Marguerite Bennett | Jorge Molina
"A-Force, Vol. 1",4A,Secret Wars ,Jorge Molina Cover,Marvel Comics,9-Sep-15,Comic,20-Nov-15,Marguerite Bennett | Willow Wilson | Jorge Molina
"A-Force, Vol. 1",5A,Secret Wars ,Jorge Molina Cover,Marvel Comics,14-Oct-15,Comic,13-Dec-15,Marguerite Bennett | Willow Wilson | Jorge Molina
"A-Force, Vol. 2",2A,,Regular Jorge Molina Cover,Marvel Comics,3-Feb-16,Comic,19-May-16,G. Willow Wilson | Kelly Thompson | Jorge Molina
"A-Force, Vol. 2",3A,,Regular Jorge Molina Cover,Marvel Comics,2-Mar-16,Comic,19-May-16,G. Willow Wilson | Kelly Thompson | Jorge Molina
"A-Force, Vol. 2",4,,,Marvel Comics,13-Apr-16,Comic,19-May-16,G. Willow Wilson | Kelly Thompson | Jorge Molina
"A-Force, Vol. 2",5A,Rage Against the Dying of the Light,Regular Ben Caldwell Cover,Marvel Comics,4-May-16,Comic,30-May-16,Kelly Thompson | Ben Caldwell
"A-Force, Vol. 2",6,Rage Against the Dying of the Light,,Marvel Comics,1-Jun-16,Comic,3-Jun-16,Kelly Thompson | Ben Caldwell | Scott Hanna
"A-Force, Vol. 2",8A,Civil War II ,,Marvel Comics,10-Aug-16,Comic,25-Feb-17,Kelly Thompson | Paulo Siqueira
"A-Force, Vol. 2",9A,,Regular Paulo Siqueira Cover,Marvel Comics,14-Sep-16,Comic,25-Feb-17,Kelly Thompson | Paulo Siqueira
"A-Force, Vol. 2",10A,Civil War II ,Regular Stephanie Hans Cover,Marvel Comics,19-Oct-16,Comic,25-Feb-17,Kelly Thompson | Paulo Siqueira | Joe Bennett
Absolute Carnage,1B,,,Marvel Comics,7-Aug-19,Comic,15-Aug-19,Donny Cates | Ryan Stegman | JP Mayer
Absolute Carnage,2A,,Regular Ryan Stegman Cover,Marvel Comics,28-Aug-19,Comic,20-Sep-19,Donny Cates | Ryan Stegman | JP Mayer
Absolute Carnage,3A,,Regular Ryan Stegman Cover,Marvel Comics,18-Sep-19,Comic,17-Oct-19,Donny Cates | Ryan Stegman | JP Mayer
Absolute Carnage,4A,,Regular Ryan Stegman Cover,Marvel Comics,16-Oct-19,Comic,23-Feb-20,Donny Cates | Ryan Stegman | Jay Leisten
Absolute Carnage,5A,,Regular Ryan Stegman Cover,Marvel Comics,20-Nov-19,Comic,23-Feb-20,Donny Cates | Mark Bagley | Ryan Stegman
Absolute Carnage Vs Deadpool,1A,,Regular Tyler Kirkham Cover,Marvel Comics,21-Aug-19,Comic,24-Aug-19,Frank Tieri | Marcelo Ferreira
Absolute Carnage Vs Deadpool,2A,,Regular Tyler Kirkham Cover,Marvel Comics,11-Sep-19,Comic,13-Feb-20,Frank Tieri | Marcelo Ferreira | Andy Owens
Absolute Carnage Vs Deadpool,3A,,Regular Tyler Kirkham Cover,Marvel Comics,16-Oct-19,Comic,13-Feb-20,Frank Tieri | Jack Jadson | Marcelo Ferreira
Absolute Carnage: Avengers,1A,,Regular Clayton Crain Cover,Marvel Comics,16-Oct-19,Comic,23-Feb-20,Leah Williams | Zac Thompson | Alberto Jiménez Alburquerque
Absolute Carnage: Captain Marvel,1A,,Regular David Nakayama Cover,Marvel Comics,20-Nov-19,Comic,24-Nov-21,Emily Ryan Lerner | Andrea Broccardo | Le Beau Underwood
Absolute Carnage: Lethal Protectors,1A,,Regular Bengal Cover,Marvel Comics,28-Aug-19,Comic,13-Feb-20,Frank Tieri | Flaviano Armentaro
Absolute Carnage: Lethal Protectors,2A,,Regular Iban Coello Cover,Marvel Comics,18-Sep-19,Comic,13-Feb-20,Frank Tieri | Flaviano Armentaro
Absolute Carnage: Lethal Protectors,3A,,Regular Iban Coello Cover,Marvel Comics,23-Oct-19,Comic,13-Apr-20,Frank Tieri | Flaviano Armentaro
Absolute Carnage: Miles Morales,1A,,Regular Clayton Crain Cover,Marvel Comics,28-Aug-19,Comic,17-Oct-19,Saladin Ahmed | Federico Vincentini
Absolute Carnage: Miles Morales,2A,,Regular Clayton Crain Cover,Marvel Comics,25-Sep-19,Comic,17-Oct-19,Saladin Ahmed | Federico Vincentini
Absolute Carnage: Miles Morales,3A,,Regular Clayton Crain Cover,Marvel Comics,9-Oct-19,Comic,17-Oct-19,Saladin Ahmed | Federico Vincentini
Absolute Carnage: Scream,1A,,Regular Gerardo Sandoval Cover,Marvel Comics,14-Aug-19,Comic,22-Nov-19,Cullen Bunn | Gerardo Sandoval
Absolute Carnage: Scream,2A,,Regular Gerardo Sandoval Cover,Marvel Comics,4-Sep-19,Comic,13-Feb-20,Cullen Bunn | Gerardo Sandoval
Absolute Carnage: Scream,3A,,Regular Gerardo Sandoval Cover,Marvel Comics,16-Oct-19,Comic,13-Feb-20,Cullen Bunn | Gerardo Sandoval
Absolute Carnage: Separation Anxiety,1A,,Philip Tan Standard Cover,Marvel Comics,14-Aug-19,Comic,22-Nov-19,Clay McLeod Chapman | Brian Level
Absolute Carnage: Symbiote of Vengeance,1A,,Regular Philip Tan Cover,Marvel Comics,11-Sep-19,Comic,13-Feb-20,Ed Brisson | Juan Frigeri
Absolute Carnage: Symbiote Spider-Man,1A,,Regular Greg Land Cover,Marvel Comics,4-Sep-19,Comic,12-Jan-21,Peter David | Francesco Mobili
Absolute Carnage: The Immortal Hulk,1A,,Regular Kyle Hotz Cover,Marvel Comics,2-Oct-19,Comic,17-Oct-19,Al Ewing | Filipe Andrade
Absolute Carnage: Weapon Plus,1A,,Regular Skan Cover,Marvel Comics,6-Nov-19,Comic,14-Dec-20,Jed Mackay | Stefano Raffaele
Action Comics 2021 Annual,1A,,,DC Comics,29-Jun-21,Comic,16-Jul-21,Phillip Kennedy Johnson | Siya Oum | Scott Godlewski
"Action Comics, Vol. 1",490B,No Tomorrow For Superman!,Whitman Edition,DC Comics,28-Sep-78,Comic,23-Feb-14,Cary Bates | Douglas Curtis Swan | Frank Chiaramonte
"Action Comics, Vol. 1",491B,A Matter Of Light And Death!,Whitman Edition,DC Comics,26-Oct-79,Comic,23-Feb-14,Cary Bates | Douglas Curtis Swan | Frank Chiaramonte
"Action Comics, Vol. 1",492B,"""Superman's Secret Afterlife!""",Whitman Edition,DC Comics,30-Nov-78,Comic,23-Feb-14,Cary Bates | Douglas Curtis Swan | Frank Chiaramonte
"Action Comics, Vol. 1",661,Stretching A Point!,,DC Comics,4-Dec-90,Comic,23-Feb-14,Roger Stern | Bob McLeod | Brett Breeding
"Action Comics, Vol. 1",667,The Final Chapter,,DC Comics,Jul-91,Comic,23-Feb-14,Roger Stern | Jerry Ordway | Denis Rodier
"Action Comics, Vol. 1",687B,Reign of the Supermen - Born Again,Collector's Edition,DC Comics,27-Apr-93,Comic,23-Feb-14,Roger Stern | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",693,The Last Purge Of Krypton!,,DC Comics,Nov-93,Comic,23-Feb-14,Frank Pittarese | Roger Stern | Karl Kesel
"Action Comics, Vol. 1",700A,Fall of Metropolis - Swan Song,,DC Comics,Jun-94,Comic,23-Feb-14,Roger Stern | Jackson Guice | Douglas Curtis Swan
"Action Comics, Vol. 1",701,"Fall Of Metropolis, Final Conflict",,DC Comics,Jul-94,Comic,23-Feb-14,Louise Simonson | Karl Kesel | Jackson Guice
"Action Comics, Vol. 1",702,Bad Sport!,,DC Comics,Aug-94,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",703,Zero Hour - Chronocide!,,DC Comics,Sep-94,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",704,"Dead Again, Eradication Day!",,DC Comics,Nov-94,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",705,"Dead Again, Bodies And Motion",,DC Comics,Dec-94,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",706,Saved By The Belle!,,DC Comics,Jan-95,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",707,Like Fire From The Dark,,DC Comics,Feb-95,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",708,Moving Miracle,,DC Comics,Mar-95,Comic,23-Feb-14,Chris Duffy | David Michelinie | Jackson Guice
"Action Comics, Vol. 1",709,"Crime Tunnel! Or, When Warriors Strongly Disagee!",,DC Comics,Apr-95,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",710,"Death of Clark Kent, Men Of A Different Mettle",,DC Comics,Jun-95,Comic,23-Feb-14,Chris Duffy | David Michelinie | Jackson Guice
"Action Comics, Vol. 1",711,"Death of Clark Kent, Home And The Hollow Heart!",,DC Comics,Jul-95,Comic,23-Feb-14,David Michelinie | Jackson Guice | Denis Rodier
"Action Comics, Vol. 1",714,Crossing The (Punch) Line!,,DC Comics,Oct-95,Comic,23-Feb-14,David Michelinie | Kieron Dwyer | Denis Rodier
"Action Comics, Vol. 1 Annual",6,Elseworlds - Legacy,,DC Comics,19-Jul-94,Comic,23-Feb-14,John Byrne | Dennis Janke
"Action Comics, Vol. 2",23.1A,Cyborg Superman: Born In Flames,3D Cover,DC Comics,4-Sep-13,Comic,23-Feb-14,Michael Alan Nelson | Mike Hawthorne
"Action Comics, Vol. 2",23.2A,Zod,3D Cover,DC Comics,11-Sep-13,Comic,23-Feb-14,Gregory Pak | Ken Lashley
"Action Comics, Vol. 2",23.3A,Up Up And Away!,3D Cover,DC Comics,18-Sep-13,Comic,23-Feb-14,Charles Soule | Raymund Bermudez | Dan Green
"Action Comics, Vol. 2",23.4A,Full Metal Jacket,3D Cover,DC Comics,18-Sep-13,Comic,18-May-14,Sholly Fisch | Steve Pugh
"Action Comics, Vol. 2",25A,Zero Year - Stormbreaker,,DC Comics,6-Nov-13,Comic,23-Feb-14,Gregory Pak | Scott McDaniel | Aaron Kuder
"Action Comics, Vol. 2",26A,Monster,,DC Comics,4-Dec-13,Comic,1-Sep-14,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",27A,Underworld,,DC Comics,8-Jan-14,Comic,22-Mar-14,Gregory Pak | Mike Hawthorne | R.B. Silva
"Action Comics, Vol. 2",28A,What Lies Beneath,,DC Comics,5-Feb-14,Comic,22-Mar-14,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",29A,Deep Freeze,,DC Comics,5-Mar-14,Comic,22-Mar-14,Gregory Pak | Aaron Kuder | Jed Dougherty
"Action Comics, Vol. 2",30A,Unbound,,DC Comics,2-Apr-14,Comic,10-Apr-14,Gregory Pak | Karl Kerschl | Aaron Kuder
"Action Comics, Vol. 2",31A,Superman Doomed - Infected,,DC Comics,7-May-14,Comic,16-May-14,Gregory Pak | Cameron Stewart | Aaron Kuder
"Action Comics, Vol. 2",32A,"Superman Doomed - Enemy Of The State, Chapter 1: Nightmare",,DC Comics,4-Jun-14,Comic,20-Jul-14,Gregory Pak | Scott Kolins
"Action Comics, Vol. 2",32B,"Superman Doomed - Enemy Of The State, Nightmare",Bombshell Variant Cover,DC Comics,4-Jun-14,Comic,20-Jul-14,Gregory Pak | Scott Kolins
"Action Comics, Vol. 2",33A,"Superman Doomed - Superdoom, Chapter One",,DC Comics,2-Jul-14,Comic,16-Jul-14,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",34A,Superman Doomed - Last Sun,,DC Comics,6-Aug-14,Comic,16-Aug-14,Gregory Pak | Scott Kolins | Aaron Kuder
"Action Comics, Vol. 2",35A,Superman Doomed - Doomed: Aftermath,,DC Comics,1-Oct-14,Comic,7-Oct-14,Gregory Pak | Scott Kolins | Vicente Cifuentes
"Action Comics, Vol. 2",35B,Who Needs Superman Anyway?,Monsters of the Month Variant Cover,DC Comics,1-Oct-14,Comic,7-Oct-14,Gregory Pak | Scott Kolins | Vicente Cifuentes
"Action Comics, Vol. 2",36A,Horrorville,,DC Comics,5-Nov-14,Comic,8-Aug-15,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",37A,Small Villians,,DC Comics,3-Dec-14,Comic,8-Aug-15,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",38A,Home Is Where The Hell Is,,DC Comics,7-Jan-15,Comic,8-Aug-15,Gregory Pak | Jae Lee | Aaron Kuder
"Action Comics, Vol. 2",39A,Under The Skin,,DC Comics,4-Feb-15,Comic,8-Aug-15,Gregory Pak | Scott Kolins | Aaron Kuder
"Action Comics, Vol. 2",40A,Mirror Cracked,,DC Comics,11-Mar-15,Comic,11-Jul-15,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",41A,"Hard Truth, Part 1",,DC Comics,3-Jun-15,Comic,7-Jul-15,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",42A,"Hard Truth, Part 2",Regular Cover - Aaron Kuder,DC Comics,1-Jul-15,Comic,7-Jul-15,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",43A,Hard Truth,Aaron Kuder Regular Cover,DC Comics,12-Aug-15,Comic,14-Aug-15,Gregory Pak | Aaron Kuder
"Action Comics, Vol. 2",44A,Hard Truth,Aaron Kuder Regular Cover,DC Comics,2-Sep-15,Comic,12-Sep-15,Gregory Pak | Aaron Kuder | Howard Porter
"Action Comics, Vol. 2",45A,"Blind Justice, Part One",Aaron Kuder Regular Cover,DC Comics,7-Oct-15,Comic,20-Nov-15,Gregory Pak | Aaron Kuder | Scott Kolins
"Action Comics, Vol. 2",46A,"Blind Justice, Part Two: Into the Shadows",Aaron Kuder Regular Cover,DC Comics,18-Nov-15,Comic,9-Jun-16,Gregory Pak | Aaron Kuder | Scott Kolins
"Action Comics, Vol. 2",47,"Blind Justice, Part Three: Consumed",,DC Comics,2-Dec-15,Comic,9-Jun-16,Gregory Pak | Aaron Kuder | Georges Jeanty
"Action Comics, Vol. 2",48A,"Savage Dawn, Assault",Aaron Kuder Regular Cover,DC Comics,6-Jan-16,Comic,24-Jan-16,Gregory Pak | Aaron Kuder | Rafa Sandoval
"Action Comics, Vol. 2",49A,"Savage Dawn, Immortal Combat",Aaron Kuder Regular Cover,DC Comics,3-Feb-16,Comic,19-Mar-16,Gregory Pak | Ardian Syaf | Scott Hanna
"Action Comics, Vol. 2",50A,"Savage Dawn, Resurrection",Regular Aaron Kuder Cover,DC Comics,9-Mar-16,Comic,19-Mar-16,Aaron Kuder | Greg Pak | Vicente Cifuentes
"Action Comics, Vol. 2",51A,"The Final Days of Superman, Part 3: Dazed and Confused",Karl Kerschl Regular Cover,DC Comics,20-Apr-16,Comic,3-Jun-16,Peter J. Tomasi | Paul Pelletier | Sandra Hope Archer
"Action Comics, Vol. 2",52A,"Final Days of Superman, Final Days of Superman, Part 6",Regular John Romita Jr Cover,DC Comics,11-May-16,Comic,3-Jun-16,Peter J. Tomasi | Dale Eaglesham | Scot Eaton
"Action Comics, Vol. 2 Annual",3,Superman Doomed - Superdoom,,DC Comics,30-Jul-14,Comic,16-Aug-14,Gregory Pak | Pascal Alixe | Will Conrad
"Action Comics, Vol. 3",957B,"Path to Doom, Chapter 1",,DC Comics,8-Jun-16,Comic,9-Jun-16,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",960A,"Path of Doom, Part Four",Regular Clay Mann Cover,DC Comics,27-Jul-16,Comic,11-Jan-17,Dan Jurgens | Tyler Kirkham
"Action Comics, Vol. 3",961A,"Path to Doom, Chapter 5",Regular Clay Mann Cover,DC Comics,10-Aug-16,Comic,11-Jan-17,Dan Jurgens | Stephen Segovia | Art Thibert
"Action Comics, Vol. 3",962A,"Path of Doom, Conclusion",Regular Clay Mann Cover,DC Comics,24-Aug-16,Comic,11-Jan-17,Dan Jurgens | Stephen Segovia | Art Thibert
"Action Comics, Vol. 3",963A,"Superman, Meet Clark Kent, Part 1",Regular Clay Mann Cover,DC Comics,14-Sep-16,Comic,25-Feb-17,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",964A,"Superman, Meet Clark Kent, Part 2",Regular Clay Mann Cover,DC Comics,28-Sep-16,Comic,25-Feb-17,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",965A,"Lois Lane, Back at the Planet, Part 1",Regular Clay Mann Cover,DC Comics,12-Oct-16,Comic,11-Jan-17,Dan Jurgens | Stephen Segovia | Art Thibert
"Action Comics, Vol. 3",966A,"Lois Lane, Back at the Planet, Part 2",Regular Clay Mann Cover,DC Comics,26-Oct-16,Comic,11-Jan-17,Dan Jurgens | Stephen Segovia | Art Thibert
"Action Comics, Vol. 3",967A,"Men of Steel, Part 1",Regular Clay Mann Cover,DC Comics,9-Nov-16,Comic,11-Jan-17,Dan Jurgens | Tyler Kirkham
"Action Comics, Vol. 3",968A,"Men of Steel, Part 2",Regular Clay Mann Cover,DC Comics,23-Nov-16,Comic,11-Jan-17,Dan Jurgens | Tyler Kirkham
"Action Comics, Vol. 3",969A,"Men of Steel, Part 3",Regular Tyler Kirkham Cover,DC Comics,14-Dec-16,Comic,25-Feb-17,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",970B,"Men of Steel, Part 4",Variant Gary Frank Cover,DC Comics,28-Dec-16,Comic,9-Jun-17,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",971A,"Men of Steel, Part Five",Stephen Segovia Regular Cover,DC Comics,11-Jan-17,Comic,9-Jun-17,Dan Jurgens | Stephen Segovia | Art Thibert
"Action Comics, Vol. 3",972A,"Men of Steel, Conclusion",Regular Art Thibert Cover,DC Comics,25-Jan-17,Comic,9-Jun-17,Dan Jurgens | Stephen Segovia | Art Thibert
"Action Comics, Vol. 3",973A,"Mild Mannered, Part One",Regular Clay Mann Cover,DC Comics,8-Feb-17,Comic,9-Jun-17,Dan Jurgens | Patrick Zircher | Stephen Segovia
"Action Comics, Vol. 3",974A,"Mild Mannered, Part Two",Regular Clay Mann Cover,DC Comics,22-Feb-17,Comic,9-Jun-17,Dan Jurgens | Patrick Zircher | Stephen Segovia
"Action Comics, Vol. 3",975A,"Superman Reborn, Part 2 / The Man in the Purple Hat",Regular Patrick Gleason & Mick Gray Cover,DC Comics,8-Mar-17,Comic,9-Jun-17,Paul Dini | Dan Jurgens | Ian Churchill
"Action Comics, Vol. 3",976A,"Superman Reborn, Part 4",Regular Patrick Gleason & John Kalisz Cover,DC Comics,22-Mar-17,Comic,9-Jun-17,Dan Jurgens | Doug Mahnke | Christian Alamy
"Action Comics, Vol. 3",977A,"The New World, Part 1",Regular Andy Kubert Cover,DC Comics,12-Apr-17,Comic,9-Jun-17,Dan Jurgens | Ian Churchill
"Action Comics, Vol. 3",978A,"The New World, Part 2",Regular Andy Kubert Cover,DC Comics,26-Apr-17,Comic,9-Jun-17,Dan Jurgens | Carlo Barberi | Matt Santorelli
"Action Comics, Vol. 3",979A,"Revenge, Part 1",Regular Clay Mann & Tomeu Morey Cover,DC Comics,10-May-17,Comic,9-Jun-17,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",980A,"Revenge, Part II",Regular Clay Mann Cover,DC Comics,24-May-17,Comic,9-Jun-17,Dan Jurgens | Patch Zircher
"Action Comics, Vol. 3",981A,"Revenge, Revenge Part III",Regular Patrick Zircher Cover,DC Comics,14-Jun-17,Comic,2-Jul-17,Dan Jurgens | Jack Herbert
"Action Comics, Vol. 3",982A,"Revenge, Part IV",Regular Patrick Zircher Cover,DC Comics,28-Jun-17,Comic,5-Nov-17,Dan Jurgens | Jack Herbert | José Luis
"Action Comics, Vol. 3",983A,"Revenge, Part V",Clay Mann Regular Cover,DC Comics,12-Jul-17,Comic,5-Nov-17,Dan Jurgens | Viktor Bogdanović | Jonathan Glapion
"Action Comics, Vol. 3",984A,"Revenge, Conclusion",Clay Mann Regular Cover,DC Comics,26-Jul-17,Comic,5-Nov-17,Dan Jurgens | Patrick Zircher
"Action Comics, Vol. 3",985A,"Only Human, Part 1",Regular Guillem March Cover,DC Comics,9-Aug-17,Comic,5-Jan-18,Rob Williams | Guillem March
"Action Comics, Vol. 3",986A,"Only Human, Part 2",Regular Guillem March Cover,DC Comics,23-Aug-17,Comic,5-Jan-18,Rob Williams | Guillem March
"Action Comics, Vol. 3",987A,"The Oz Effect, Part One",Regular Nick Bradshaw Lenticular Cover,DC Comics,13-Sep-17,Comic,5-Jan-18,Dan Jurgens | Viktor Bogdanović | Jonathan Glapion
"Action Comics, Vol. 3",988A,"The Oz Effect, Part Two",Regular Robson Rocha Lenticular Cover,DC Comics,27-Sep-17,Comic,5-Jan-18,Dan Jurgens | Ryan Sook
"Action Comics, Vol. 3",989A,"The Oz Effect, The Oz Effect Part Three",Regular Nick Bradshaw Lenticular Cover,DC Comics,11-Oct-17,Comic,5-Nov-17,Dan Jurgens | Viktor Bogdanović | Trevor Scott
"Action Comics, Vol. 3",990A,"The Oz Effect, The Oz Effect Part 4",Regular Nick Bradshaw Lenticular Cover,DC Comics,25-Oct-17,Comic,5-Jan-18,Dan Jurgens | Viktor Bogdanović | Scott Hanna
"Action Comics, Vol. 3",991A,"The Oz Effect, Conclusion",Regular Nick Bradshaw Lenticular Cover,DC Comics,8-Nov-17,Comic,5-Jan-18,Dan Jurgens | Viktor Bogdanović | Scott Hanna
"Action Comics, Vol. 3",992A,"The Oz Effect, After Effects",Regular Francis Manapul Cover,DC Comics,22-Nov-17,Comic,5-Jan-18,Will Conrad
"Action Comics, Vol. 3",993A,"Booster Shot, Part One",Regular Dan Jurgens & Trevor Scott Cover,DC Comics,13-Dec-17,Comic,5-Jan-18,Dan Jurgens | Joe Prado | Cam Smith
